"raw","mean","median","time"
39.1, 38.99, 39.1, 1603417763.4797297
39.1, 38.92, 39.06, 1603417763.4797297
39.12, 39.07, 39.1, 1603417763.4797297
38.63, 39.03, 39.1, 1603417763.4797297
39.1, 38.9, 39.06, 1603417763.4797297
38.63, 38.91, 39.06, 1603417763.4797297
39.12, 39.05, 39.1, 1603417763.4797297
38.61, 38.98, 39.06, 1603417763.4797297
39.12, 38.97, 39.06, 1603417763.4797297
39.12, 38.78, 38.63, 1603417763.4797297
39.06, 39.09, 39.1, 1603417763.4797297
39.04, 38.93, 39.06, 1603417763.4797297
38.63, 38.71, 38.63, 1603417763.4797297
38.63, 38.82, 38.63, 1603417763.4797297
38.63, 38.7, 38.63, 1603417763.4797297
39.12, 38.89, 39.06, 1603417763.4797297
39.12, 38.73, 38.63, 1603417763.4797297
39.04, 38.82, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
38.63, 38.73, 38.63, 1603417763.4797297
38.61, 38.86, 39.04, 1603417763.4797297
38.63, 39.0, 39.1, 1603417763.4797297
39.12, 38.97, 39.1, 1603417763.4797297
39.1, 38.97, 39.06, 1603417763.4797297
39.04, 38.91, 39.06, 1603417763.4797297
38.61, 38.84, 38.63, 1603417763.4797297
38.63, 38.79, 38.63, 1603417763.4797297
39.1, 38.78, 38.63, 1603417763.4797297
39.1, 38.85, 38.83, 1603417763.4797297
39.04, 38.95, 39.08, 1603417763.4797297
39.1, 38.82, 38.63, 1603417763.4797297
39.12, 38.89, 39.04, 1603417763.4797297
38.63, 38.87, 39.04, 1603417763.4797297
38.61, 38.85, 39.04, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
39.06, 38.78, 38.63, 1603417763.4797297
38.61, 38.67, 38.63, 1603417763.4797297
38.63, 38.75, 38.63, 1603417763.4797297
38.63, 38.75, 38.63, 1603417763.4797297
39.04, 38.78, 38.63, 1603417763.4797297
39.06, 38.95, 39.06, 1603417763.4797297
38.63, 38.79, 38.63, 1603417763.4797297
38.63, 38.81, 38.63, 1603417763.4797297
38.63, 38.82, 38.63, 1603417763.4797297
38.63, 38.73, 38.63, 1603417763.4797297
38.63, 38.8, 38.63, 1603417763.4797297
38.63, 38.84, 38.63, 1603417763.4797297
39.06, 38.81, 38.63, 1603417763.4797297
39.06, 38.92, 39.06, 1603417763.4797297
38.63, 38.88, 39.06, 1603417763.4797297
39.12, 38.86, 39.04, 1603417763.4797297
38.63, 38.81, 38.63, 1603417763.4797297
39.1, 38.87, 39.05, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
38.63, 38.75, 38.63, 1603417763.4797297
39.12, 38.84, 38.63, 1603417763.4797297
39.06, 38.98, 39.1, 1603417763.4797297
39.12, 38.88, 39.04, 1603417763.4797297
39.12, 38.99, 39.1, 1603417763.4797297
39.12, 38.98, 39.06, 1603417763.4797297
39.12, 38.82, 38.63, 1603417763.4797297
38.63, 38.91, 39.06, 1603417763.4797297
38.63, 38.97, 39.06, 1603417763.4797297
38.63, 38.92, 39.06, 1603417763.4797297
39.06, 38.95, 39.1, 1603417763.4797297
38.63, 38.85, 38.63, 1603417763.4797297
38.63, 38.84, 38.63, 1603417763.4797297
38.63, 38.85, 38.63, 1603417763.4797297
38.61, 38.91, 39.06, 1603417763.4797297
38.63, 38.91, 39.04, 1603417763.4797297
39.1, 38.87, 39.04, 1603417763.4797297
39.1, 38.97, 39.1, 1603417763.4797297
39.1, 38.93, 39.04, 1603417763.4797297
39.1, 39.08, 39.1, 1603417763.4797297
39.1, 39.0, 39.1, 1603417763.4797297
38.63, 38.95, 39.1, 1603417763.4797297
39.04, 38.81, 38.63, 1603417763.4797297
38.63, 38.68, 38.63, 1603417763.4797297
39.12, 38.76, 38.63, 1603417763.4797297
38.63, 38.82, 38.63, 1603417763.4797297
38.61, 38.87, 39.04, 1603417763.4797297
39.1, 38.82, 38.63, 1603417763.4797297
39.1, 38.98, 39.1, 1603417763.4797297
38.63, 38.89, 39.04, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
38.61, 38.81, 38.63, 1603417763.4797297
38.63, 38.99, 39.1, 1603417763.4797297
39.1, 38.96, 39.1, 1603417763.4797297
39.1, 39.02, 39.1, 1603417763.4797297
39.1, 38.98, 39.1, 1603417763.4797297
39.12, 39.0, 39.1, 1603417763.4797297
38.61, 38.84, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
39.1, 38.88, 39.04, 1603417763.4797297
39.04, 38.82, 38.63, 1603417763.4797297
39.1, 38.86, 39.04, 1603417763.4797297
38.61, 38.97, 39.06, 1603417763.4797297
38.61, 38.91, 39.04, 1603417763.4797297
39.1, 38.87, 39.04, 1603417763.4797297
39.1, 39.0, 39.1, 1603417763.4797297
38.61, 38.91, 39.06, 1603417763.4797297
38.61, 38.79, 38.63, 1603417763.4797297
38.61, 38.79, 38.63, 1603417763.4797297
39.04, 38.86, 39.04, 1603417763.4797297
38.63, 38.73, 38.63, 1603417763.4797297
39.1, 38.8, 38.63, 1603417763.4797297
39.04, 38.78, 38.63, 1603417763.4797297
38.63, 38.76, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
39.04, 38.83, 38.63, 1603417763.4797297
39.04, 38.95, 39.06, 1603417763.4797297
39.12, 39.0, 39.1, 1603417763.4797297
39.12, 38.91, 39.06, 1603417763.4797297
39.1, 38.99, 39.1, 1603417763.4797297
39.1, 39.03, 39.1, 1603417763.4797297
39.1, 38.96, 39.1, 1603417763.4797297
39.1, 38.96, 39.06, 1603417763.4797297
39.04, 39.01, 39.1, 1603417763.4797297
39.1, 39.03, 39.1, 1603417763.4797297
39.1, 39.05, 39.1, 1603417763.4797297
39.1, 39.04, 39.1, 1603417763.4797297
39.1, 39.05, 39.1, 1603417763.4797297
39.1, 38.9, 39.04, 1603417763.4797297
39.1, 39.02, 39.1, 1603417763.4797297
39.06, 38.93, 39.06, 1603417763.4797297
38.63, 38.68, 38.61, 1603417763.4797297
38.61, 38.83, 38.63, 1603417763.4797297
39.12, 38.82, 38.63, 1603417763.4797297
39.1, 39.07, 39.1, 1603417763.4797297
39.1, 39.02, 39.1, 1603417763.4797297
39.12, 39.07, 39.1, 1603417763.4797297
38.63, 38.94, 39.06, 1603417763.4797297
39.06, 38.87, 39.04, 1603417763.4797297
39.12, 38.93, 39.06, 1603417763.4797297
39.1, 39.03, 39.1, 1603417763.4797297
39.1, 38.99, 39.1, 1603417763.4797297
39.12, 39.04, 39.1, 1603417763.4797297
38.63, 39.02, 39.1, 1603417763.4797297
38.63, 38.95, 39.1, 1603417763.4797297
39.1, 39.01, 39.1, 1603417763.4797297
38.63, 38.9, 39.06, 1603417763.4797297
39.12, 38.85, 38.63, 1603417763.4797297
39.06, 39.06, 39.1, 1603417763.4797297
39.12, 38.99, 39.1, 1603417763.4797297
39.1, 39.06, 39.1, 1603417763.4797297
39.1, 39.05, 39.1, 1603417763.4797297
38.63, 38.89, 39.06, 1603417763.4797297
38.63, 39.01, 39.1, 1603417763.4797297
39.1, 38.91, 39.06, 1603417763.4797297
39.06, 39.02, 39.12, 1603417763.4797297
38.63, 38.83, 38.63, 1603417763.4797297
38.63, 38.92, 39.06, 1603417763.4797297
38.61, 38.79, 38.63, 1603417763.4797297
39.1, 38.84, 38.63, 1603417763.4797297
38.63, 38.91, 39.06, 1603417763.4797297
39.1, 38.92, 39.06, 1603417763.4797297
38.63, 38.88, 39.04, 1603417763.4797297
39.12, 38.86, 39.04, 1603417763.4797297
39.1, 38.92, 39.06, 1603417763.4797297
39.1, 38.77, 38.63, 1603417763.4797297
39.06, 38.83, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
38.63, 38.74, 38.63, 1603417763.4797297
39.04, 38.74, 38.63, 1603417763.4797297
39.12, 39.01, 39.1, 1603417763.4797297
38.63, 38.97, 39.1, 1603417763.4797297
39.04, 38.93, 39.06, 1603417763.4797297
39.1, 39.04, 39.1, 1603417763.4797297
39.12, 38.99, 39.1, 1603417763.4797297
38.63, 38.96, 39.06, 1603417763.4797297
39.12, 39.04, 39.1, 1603417763.4797297
38.63, 39.0, 39.1, 1603417763.4797297
39.06, 39.08, 39.1, 1603417763.4797297
39.12, 39.01, 39.1, 1603417763.4797297
39.06, 38.82, 38.63, 1603417763.4797297
39.12, 38.95, 39.06, 1603417763.4797297
38.63, 39.05, 39.1, 1603417763.4797297
38.63, 38.99, 39.1, 1603417763.4797297
39.06, 38.88, 39.04, 1603417763.4797297
39.04, 38.85, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
39.06, 38.96, 39.06, 1603417763.4797297
39.12, 39.08, 39.1, 1603417763.4797297
39.06, 39.06, 39.1, 1603417763.4797297
39.06, 39.01, 39.1, 1603417763.4797297
39.1, 39.02, 39.1, 1603417763.4797297
38.66, 38.95, 39.06, 1603417763.4797297
39.06, 38.88, 39.04, 1603417763.4797297
39.06, 38.82, 38.63, 1603417763.4797297
38.63, 38.78, 38.63, 1603417763.4797297
