sonar_raw,sonar_mean,sonar_median,lidar_raw,time
27.82,27.82,27.82,23.7,1606224692.2314372
27.82,27.82,27.82,24.2,1606224695.2345772
27.82,27.82,27.82,23.7,1606224698.2376254
27.82,27.82,27.82,23.8,1606224701.2407074
27.82,27.82,27.82,23.8,1606224704.2438803
27.82,27.82,27.82,23.9,1606224707.24669
27.82,27.82,27.82,23.8,1606224710.25002
27.82,27.82,27.82,23.7,1606224713.2528443
27.82,27.82,27.82,23.7,1606224716.2559109
27.82,27.82,27.82,23.6,1606224719.2589402
27.82,27.82,27.82,23.8,1606224722.261725
27.82,27.82,27.82,24.0,1606224725.2650704
27.82,27.82,27.82,24.0,1606224728.2682173
27.82,27.82,27.82,23.8,1606224731.2712915
27.82,27.82,27.82,24.3,1606224734.2740629
27.82,27.82,27.82,23.6,1606224737.2771614
27.82,27.82,27.82,23.8,1606224740.280153
27.82,27.82,27.82,23.7,1606224743.2835581
27.82,27.82,27.82,23.9,1606224746.2863884
27.82,27.82,27.82,23.8,1606224749.2893748
27.82,27.82,27.82,23.8,1606224752.2923563
27.82,27.82,27.82,23.6,1606224755.2953157
27.82,27.82,27.82,23.8,1606224758.298382
27.82,27.82,27.82,24.1,1606224761.3018012
27.82,27.82,27.82,24.1,1606224764.3047116
27.82,27.82,27.82,23.7,1606224767.3075757
27.82,27.82,27.82,24.2,1606224770.310479
27.82,27.82,27.82,24.2,1606224773.3137028
27.82,27.82,27.82,24.7,1606224776.316771
27.82,27.82,27.82,24.3,1606224779.3195791
27.82,27.82,27.82,23.7,1606224782.3229206
27.82,27.8,27.82,24.1,1606224785.3258038
27.82,27.82,27.82,23.9,1606224788.328987
27.82,27.82,27.82,23.8,1606224791.3320723
27.82,27.82,27.82,23.6,1606224794.3349302
27.82,27.82,27.82,23.7,1606224797.337842
27.82,27.82,27.82,24.3,1606224800.3412263
27.82,27.82,27.82,23.8,1606224803.344093
27.82,27.82,27.82,23.7,1606224806.347328
27.82,27.82,27.82,23.8,1606224809.3501947
27.82,27.82,27.82,23.7,1606224812.3533719
27.82,27.82,27.82,24.0,1606224815.3561575
27.82,27.82,27.82,23.8,1606224818.3591812
27.82,27.82,27.82,23.7,1606224821.3624368
27.82,27.82,27.82,24.5,1606224824.365562
27.82,27.82,27.82,24.0,1606224827.3685613
27.82,27.82,27.82,23.7,1606224830.3713162
27.82,27.82,27.82,23.8,1606224833.3744867
27.82,27.82,27.82,23.3,1606224836.37736
27.82,27.82,27.82,23.8,1606224839.380589
27.82,27.82,27.82,24.1,1606224842.3832915
27.82,27.82,27.82,24.1,1606224845.3866625
27.82,27.82,27.82,23.7,1606224848.389844
27.82,27.82,27.82,24.1,1606224851.3923287
27.8,27.82,27.82,23.4,1606224854.3955972
27.8,27.72,27.8,24.1,1606224857.3986871
27.82,27.81,27.8,23.5,1606224860.4017017
27.8,27.8,27.8,24.4,1606224863.4046416
27.8,27.8,27.8,24.1,1606224866.4076183
27.37,27.8,27.8,23.6,1606224869.4109583
27.37,27.56,27.37,23.8,1606224872.414518
27.37,27.65,27.8,24.0,1606224875.4168324
27.82,27.52,27.37,23.9,1606224878.4198146
27.8,27.5,27.37,23.7,1606224881.422877
27.8,27.81,27.8,23.6,1606224884.4262228
27.82,27.82,27.82,23.7,1606224887.428889
27.8,27.79,27.82,23.6,1606224890.4319096
27.8,27.81,27.8,24.1,1606224893.4350047
27.82,27.81,27.8,24.0,1606224896.4381142
27.82,27.81,27.8,24.2,1606224899.4410186
27.82,27.79,27.8,23.7,1606224902.44423
27.82,27.81,27.82,23.9,1606224905.4472618
27.82,27.82,27.82,24.1,1606224908.4504514
27.82,27.81,27.82,23.7,1606224911.4530525
27.8,27.81,27.82,23.9,1606224914.4564393
27.82,27.81,27.8,23.8,1606224917.459689
27.8,27.81,27.82,23.8,1606224920.4624202
27.82,27.81,27.82,23.8,1606224923.465641
27.82,27.81,27.82,23.8,1606224926.4684453
27.82,27.81,27.82,23.7,1606224929.4715211
